Autor*in;Titel;Referenzkorpus (Vorschlag);Jahr;Sprache;Genre;Wiki-Data ID Work;Wiki-Data ID Author;Referenz;Filename;;;;;;;;;;
Adalbert Stifter;Der beschriebene Tännling;;1846;Deutsch;;https://www.wikidata.org/wiki/Q65565750;Q168542;;Adalbert_Stifter_-_Der_beschriebene_Tännling_(1846).txt;;;;;;;;;;
Adolf Pichler;Ein Brautpaar;;1867;Deutsch;;;Q88910;;Adolf_Pichler_-_Ein_Brautpaar_(1867).txt;;;;;;;;;;
Agnes Günther;Die Heilige und ihr Narr - Band 2;;1913;Deutsch;;https://www.wikidata.org/wiki/Q1170730;Q106107;;Agnes_Günther_-_Die_Heilige_und_ihr_Narr_-_Band_2_(1913).txt;;;;;;;;;;
Alois Theodor Sonnleitner;Die Höhlenkinder  Im Heimlichen Grund;;1918;Deutsch;KJL;https://www.wikidata.org/wiki/Q1213545;Q94580;;Alois_Theodor_Sonnleitner_-_Die_Höhlenkinder_–_Im_Heimlichen_Grund_(1918).txt;;;;;;;;;;
Alois Theodor Sonnleitner;Die Höhlenkinder  Im Steinhaus;;1920;Deutsch;KJL;https://www.wikidata.org/wiki/Q1213545;Q94580;;Alois_Theodor_Sonnleitner_-_Die_Höhlenkinder_–_Im_Steinhaus_(1920).txt;;;;;;;;;;
August Kopisch;Ein Carnevalsfest auf Ischia;;1856;Deutsch;;;Q88387;;August_Kopisch_-_Ein_Carnevalsfest_auf_Ischia_(1856).txt;;;;;;;;;;
Berthold Auerbach;Auf der Höhe Dritter Band;;1865;Deutsch;;;Q76715;;Berthold_Auerbach_-_Auf_der_Höhe_Dritter_Band_(1865).txt;;;;;;;;;;
Charles Sealsfield;In der Prärie verirrt;;1841;Deutsch;;;Q79153;;Charles_Sealsfield_-_In_der_Prärie_verirrt_(1841).txt;;;;;;;;;;
Christoph von Schmid;Wie Heinrich von Eichenfels zur Erkenntnis Gottes kam;;1817;Deutsch;;;Q68202;;Christoph_von_Schmid_-_Wie_Heinrich_von_Eichenfels_zur_Erkenntnis_Gottes_kam_(1817).txt;;;;;;;;;;
Clemens Brentano;Aus der Chronika eines fahrenden Schülers (Zweite Fassung);;1818;Deutsch;;https://www.wikidata.org/wiki/Q777681;Q57235;;Clemens_Brentano_-_Aus_der_Chronika_eines_fahrenden_Schülers_(Zweite_Fassung)_(1818).txt;;;;;;;;;;
