ID,Repositorium,Vorname Autor,Nachname Autor,Nationalität,Pseudonym/Anderer Name,Gesamtname Autor,Geburtsjahr,Sterbejahr,Autor:innengender,Titel,Dateiname,verwendetes Datum,Wörter,Typen,norm_year,Tier,Pflanze,Lebensraum,Gesamt,Dichte,
204,textgrid,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Die Ostereier der Reiserbuben,Christ_Lena_Die_Ostereier_der_Reiserbuben,1919,1065,504,1919,5,5,6,16,"0,01502347418",
205,gutenberg,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Erinnerungen einer Überflüssigen,Christ_Lena_Erinnerungen_einer_Ueberfluessigen,1912,68568,10887,1912,158,125,126,409,"0,005964881577",
206,gutenberg,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Lausdirndlgeschichten,Christ_Lena_Lausdirndlgeschichten,1913,17327,2972,1913,78,79,35,192,"0,01108097189",
207,textgrid,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Madam Bäurin,Christ_Lena_Madam_Baeurin,1919,34729,6416,1919,142,81,83,306,"0,008811080077",
208,textgrid,Lena,Christ,Deutschland,Magdalena Pichler,Lena Christ,1881,1920,female,Mathias Bichler,Christ_Lena_Mathias_Bichler,1914,69335,11243,1914,260,193,327,780,"0,01124972957",
209,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Als er heimkehrte,Christen_Ada_Als_er_heimkehrte,1884,6529,1934,1884,31,15,10,56,"0,008577117476",
210,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Der einsame Spatz,Christen_Ada_Der_einsame_Spatz,1884,3722,1431,1884,29,9,12,50,"0,01343363783",
211,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Jungfer Mutter,Christen_Ada_Jungfer_Mutter,1892,39246,6326,1892,131,78,69,278,"0,007083524436",
212,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Käthes Federhut,Christen_Ada_Kaethes_Federhut,1876,3754,1190,1876,33,4,9,46,"0,01225359616",
213,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Nachbar Krippelmacher,Christen_Ada_Nachbar_Krippelmacher,1884,2934,1154,1884,10,10,8,28,"0,009543285617",
214,textgrid,Ada,Christen,Österreich,Christi(a)na von Breden,Ada Christen,1839,1901,female,Rahel,Christen_Ada_Rahel,1880,3149,1195,1880,7,23,29,59,"0,0187361067",
277,gutenberg,Marie Eugenie,delle Grazie,Österreich,Marie Eugenie Delle Grazie,Marie Eugenie delle Grazie,1864,1931,female,Das Buch der Liebe,delle_Grazie_Marie_Eugenie_Das_Buch_der_Liebe,1916,78712,10477,1916,135,318,240,693,"0,008804248399",
278,DTA,Juliane,Déry,Ungarn/Österreich/Deutschland,"Juliane Deutsch, Juliane Decsy",Juliane Déry,1864,1899,female,Selige Liebe,Dery_Juliane_Selige_Liebe,1892,3580,1392,1892,12,43,36,91,"0,02541899441",
279,gutenberg,Jenny,Dirnböck-Schulz,Tschechien,,Jenny Dirnböck-Schulz,1850,1918,female,Aus Mizi's Memoiren,Dirnboeck-Schulz_Jenny_Aus_Mizis_Memoiren,1895,1726,743,1895,9,17,19,45,"0,02607184241",
280,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,Christa Ruland,Dohm_Hedwig_Christa_Ruland,1902,63386,11897,1902,228,212,261,701,"0,01105922443",
281,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,Schicksale einer Seele,Dohm_Hedwig_Schicksale_einer_Seele,1899,87428,14299,1899,283,453,427,1163,"0,01330237453",
282,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,Sibilla Dalmar,Dohm_Hedwig_Sibilla_Dalmar,1896,80391,13568,1896,208,304,311,823,"0,01023746439",
283,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,"Werde, die Du bist!",Dohm_Hedwig_Werde,1894,20012,4596,1894,59,138,166,363,"0,01813911653",
284,textgrid,Hedwig,Dohm,Deutschland,Marianne Adelaide Hedwig Dohm,Hedwig Dohm,1831,1919,female,Wie Frauen werden,Dohm_Hedwig_Wie_Frauen_werden,1894,31441,6628,1894,69,82,73,224,"0,007124455329",
290,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Für ihr Kind,Duncker_Dora_Fuer_ihr_Kind,1897,10946,3064,1897,8,6,18,32,"0,002923442353",
291,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Großstadt,Duncker_Dora_Grossstadt,1900,71654,9819,1900,54,116,115,285,"0,003977447177",
292,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Gundula,Duncker_Dora_Gundula,1907,16493,3988,1907,17,53,85,155,"0,009397926393",
293,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Jugend,Duncker_Dora_Jugend,1907,7428,2278,1907,6,18,52,76,"0,01023155627",
294,gutenberg,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Marquise von Pompadour,Duncker_Dora_Marquise_von_Pompadour,1913,74531,11870,1913,94,133,195,422,"0,0056620735",
295,textgrid,Dora,Duncker,Deutschland,Dorothea Livia Felicia Maria Duncker,Dora Duncker,1855,1916,female,Mütter,Duncker_Dora_Muetter,1897,12002,2752,1897,6,17,42,65,"0,005415764039",
