filename;ecocor_id
1896_Niese_Corisande;eco_de_0000169
1897_Boehlau_Das-ehrbussliche-Weiblein;eco_de_0000212
1897_Boehlau_Im-alten-Roedchen;eco_de_0000213
1897_Fontane_Stechlin;eco_de_000051
1897_Janitschek_Das-kleine-Huendchen;eco_de_0000162
1897_Janitschek_Kind-Gottes;eco_de_0000163
1897_Janitschek_Klare-Rechnung;eco_de_0000164
1898_Anklam_Der-wilde-Arno;eco_de_0000208
1898_von-Ebner-Eschenbach_Der-Vorzugsschueler;eco_de_0000184
1899_Frapan_Ameise;eco_de_0000156
1899_Frapan_Dort-oben;eco_de_0000157
1899_Seidel_Der-Rosenkoenig;eco_de_000095
1900_Wildermuth_Das-Osterlied;eco_de_0000198
1900_Wildermuth_Des-Herrn-Pfarrers;eco_de_0000199
1900_Wildermuth_Es-ging-ein;eco_de_0000200
1901_Loens_Mein-gruenes-Buch;eco_de_0000105
1901_Sapper_Das-Mooserl;eco_de_0000171
1901_Sapper_Helf-wer-helfen;eco_de_0000172
1901_Spyri_Aus-dem-Leben;eco_de_0000175
1901_von-Ebner-Eschenbach_Die-Spitzin;eco_de_0000186
1901_von-Ebner-Eschenbach_Maslans-Frau;eco_de_0000189
1902_Lasswitz_Homchen;eco_de_0000123
1903_von-Heyking_Aus-dem-Land;eco_de_0000194
1904_Heimburg_Grossmutters-Kathrin;eco_de_0000159
1904_Heimburg_Maiblumen;eco_de_0000160
1904_Heimburg_Originale;eco_de_0000161
1905_Bernhard_Heimatluft;eco_de_0000209
1905_von-Heyking_Das-Geheimnis-des;eco_de_0000195
1905_von-Heyking_Ueber-einen-Hund;eco_de_0000196
1906_Bindschedler_Die-Turnachkinder-im;eco_de_0000210
1906_Grottewitz_Sonntage-eines-Grossstaedters;eco_de_000076
1906_von-Keyserling_Seine-Liebeserfahrung;eco_de_000079
1907_Loens_Mein-braunes-Buch;eco_de_0000103
1907_Sapper_Die-Familie-Pfaeffling;eco_de_0000173
1907_von-Meysenbug_Der-Pfad-der;eco_de_0000197
1908_Qui-Rit_Scharfe-Geschichten;eco_de_0000109
1909_Bindschedler_Die-Turnachkinder-im;eco_de_0000211
1909_Blank_Der-Mord-im;eco_de_0000131
1909_Dauthendey_Der-Knabe-auf;eco_de_0000132
1909_Dauthendey_Die-Abendglocken-vom;eco_de_0000133
1909_Loens_Tiergeschichten;eco_de_0000106
1910_Boehlau_Ein-Sommerbuch;eco_de_0000214
1911_Dauthendey_Die-acht-Gesichter;eco_de_0000134
1911_Loens_Der-zweckmaessige-Meyer;eco_de_000099
1911_Loens_Heimatliche-Naturbilder-Da;eco_de_0000100
1911_Loens_Kraut-und-Lot;eco_de_0000102
1912_von-Ebner-Eschenbach_Der-Herr-Hofrat;eco_de_0000183
1913_Guenther_Die-Heilige-und;eco_de_000067
