Word,PoS,GermaNet_fields
Kohle,nomen,natGegenstand
Stroh,nomen,natGegenstand
Dunst,nomen,natPhaenomen
Tau,nomen,natPhaenomen
Nadel,nomen,Pflanze
erleuchten,verben,natPhaenomen
Gans,nomen,Tier
entzünden,verben,natPhaenomen
spiegeln,verben,natPhaenomen
Kraut,nomen,Pflanze
Schwein,nomen,Tier
erhellen,verben,natPhaenomen
dämmern,verben,natPhaenomen
Sekretär,nomen,Tier
Hecke,nomen,Pflanze
Energie,nomen,natPhaenomen
Regung,nomen,natPhaenomen
Schmetterling,nomen,Tier
Echo,nomen,natPhaenomen
Front,nomen,natPhaenomen
Wurm,nomen,Tier
Rabe,nomen,Tier
Adler,nomen,Tier
Tabak,nomen,Pflanze
grauen,verben,natPhaenomen
Schimmel,nomen,Tier
Bestie,nomen,Tier
welk,adj,natPhaenomen
schütten,verben,natPhaenomen
Nachtigall,nomen,Tier
Rohr,nomen,Pflanze
Ungeheuer,nomen,Tier
Kartoffel,nomen,Pflanze
Hummel,nomen,Tier
aufklären,verben,natPhaenomen
Frosch,nomen,Tier
Klippe,nomen,natGegenstand
niederschlagen,verben,natPhaenomen
Ochse,nomen,Tier
Gestein,nomen,natGegenstand
Mondschein,nomen,natPhaenomen
Reh,nomen,Tier
Männchen,nomen,Tier
bedeckt,adj,natPhaenomen
knallen,verben,natPhaenomen
Nonne,nomen,Tier
Strauß,nomen,Tier
Wirbel,nomen,natPhaenomen
Linde,nomen,natGegenstand Pflanze
Palme,nomen,Pflanze
abschlagen,verben,natPhaenomen
Salz,nomen,natGegenstand
Schnelligkeit,nomen,natPhaenomen
Diamant,nomen,natGegenstand
Batterie,nomen,natPhaenomen
Krähe,nomen,Tier
Schwung,nomen,natPhaenomen
Ziege,nomen,Tier
Lamm,nomen,Tier
Frost,nomen,natPhaenomen
grollen,verben,natPhaenomen
Dorn,nomen,Pflanze
Drache,nomen,Tier
blinken,verben,natPhaenomen
Strauch,nomen,Pflanze
Halm,nomen,Pflanze
Fichte,nomen,natGegenstand Pflanze
lau,adj,natPhaenomen
Dickicht,nomen,Pflanze
Spore,nomen,Pflanze Tier
Kardinal,nomen,Tier
Felswand,nomen,natGegenstand
Mondlicht,nomen,natPhaenomen
Tageslicht,nomen,natPhaenomen
Erdboden,nomen,natGegenstand
Sonnenlicht,nomen,natPhaenomen
Ladung,nomen,natPhaenomen
Marmor,nomen,natGegenstand
Fels,nomen,natGegenstand
fruchtbar,adj,natPhaenomen
Schwalbe,nomen,Tier
Grille,nomen,Tier
anstecken,verben,natPhaenomen
zuziehen,verben,natPhaenomen
fegen,verben,natPhaenomen
Edelstein,nomen,natGegenstand
Kelch,nomen,Pflanze
prangen,verben,natPhaenomen
Baumstamm,nomen,Pflanze
Stier,nomen,Tier
Giebel,nomen,Tier
flimmern,verben,natPhaenomen
Öl,nomen,natGegenstand
schmelzen,verben,natPhaenomen
Vorsehung,nomen,natPhaenomen
Scholle,nomen,Tier
Ente,nomen,Tier
Araber,nomen,Tier
Flora,nomen,natPhaenomen Pflanze
lodern,verben,natPhaenomen
reifen,verben,natPhaenomen
spucken,verben,natPhaenomen
Ratte,nomen,Tier
Spinne,nomen,Tier
dunkeln,verben,natPhaenomen
Schenkel,nomen,Pflanze
lind,adj,natPhaenomen
Mücke,nomen,Tier
Biene,nomen,Tier
eben,adj,natPhaenomen
prallen,verben,natPhaenomen
flackern,verben,natPhaenomen
Strömung,nomen,natPhaenomen
Elefant,nomen,Tier
dampfen,verben,natPhaenomen
Blei,nomen,Tier
Narbe,nomen,Pflanze
Veilchen,nomen,Pflanze
Knospe,nomen,Pflanze
Menschenleben,nomen,natPhaenomen
Kalb,nomen,Tier
Kater,nomen,Tier
Birke,nomen,natGegenstand Pflanze
Lerche,nomen,Tier
Sonnenuntergang,nomen,natPhaenomen
Lilie,nomen,Pflanze
Geschwindigkeit,nomen,natPhaenomen
Vision,nomen,natPhaenomen
Käfer,nomen,Tier
Keim,nomen,Pflanze Tier
Weibchen,nomen,Tier
Tiger,nomen,Tier
Schall,nomen,natPhaenomen
absetzen,verben,natPhaenomen
Rind,nomen,Tier
Schlamm,nomen,natGegenstand
erwärmen,verben,natPhaenomen
verdunkeln,verben,natPhaenomen
Schwan,nomen,Tier
Kühle,nomen,natPhaenomen
Saat,nomen,Pflanze
Henne,nomen,Tier
Schilf,nomen,Pflanze
Weihe,nomen,Tier
Kuckuck,nomen,Tier
Knall,nomen,natPhaenomen
Spatz,nomen,Tier
Saft,nomen,natPhaenomen Pflanze
